,time,latitude,longitude,depth,mag,id,updated,place,type,horizontalError,depthError,magError,state
171,2021-01-15T02:04:36.760Z,33.9991684,-117.1610031,11.65,1.29,ci39757720,2021-01-15T02:06:56.463Z,"7km SSE of Redlands, CA",earthquake,0.44,0.97,0.402, CA
177,2021-01-15T04:06:23.310Z,34.0755,-116.7188333,6.17,0.91,ci39757760,2021-01-15T16:07:57.263Z,"13km WNW of Morongo Valley, CA",earthquake,0.17,0.32,0.108, CA
178,2021-01-15T04:06:23.470Z,34.0753333,-116.7278333,4.76,0.91,ci39757760,2021-01-15T04:10:05.431Z,"14km WNW of Morongo Valley, CA",earthquake,0.48,1.15,0.111, CA
181,2021-01-15T04:19:29.720Z,38.8278351,-122.8511658,1.74,0.34,nc73511085,2021-01-15T04:21:07.965Z,"10km NW of The Geysers, CA",earthquake,0.33,0.53,0.24, CA
192,2021-01-15T04:47:57.160Z,37.3796654,-118.8013306,9.9,2.01,nc73511090,2021-01-15T04:52:03.722Z,"18km WSW of Round Valley, CA",earthquake,0.27,1.76,0.23, CA
193,2021-01-15T04:47:57.170Z,37.3808333,-118.8016667,10.05,2.17,nc73511090,2021-01-15T18:28:07.418Z,"18km WSW of Round Valley, CA",earthquake,0.25,1.63,0.295, CA
196,2021-01-15T05:09:59.770Z,37.5268333,-118.8305,4.71,0.58,nc73511100,2021-01-15T18:33:55.015Z,"14km WSW of Toms Place, CA",earthquake,0.54,1.09,0.157, CA
204,2021-01-15T05:25:58.810Z,33.0335,-116.4055,3.68,0.9,ci39757816,2021-01-15T16:26:56.271Z,"19km ESE of Julian, CA",earthquake,0.19,0.45,0.1, CA
205,2021-01-15T05:25:58.960Z,33.0315,-116.398,4.67,0.87,ci39757816,2021-01-15T05:29:47.069Z,"20km ESE of Julian, CA",earthquake,0.48,1.5,0.1, CA
206,2021-01-15T05:26:13.830Z,33.0356667,-116.4085,4.72,0.54,ci37464165,2021-01-15T16:44:01.905Z,"19km ESE of Julian, CA",earthquake,0.27,0.51,0.109, CA
